LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

220 1 55.33000000 7.80000000 67.64000000
221 1 55.13000000 8.42000000 66.34000000
222 4 55.82000000 9.53000000 65.95000000
223 1 54.08000000 7.67000000 65.58000000
224 1 53.59000000 6.59000000 66.37000000
225 1 54.36000000 6.61000000 67.70000000
226 5 53.99000000 5.95000000 68.68000000
227 1 52.53000000 5.88000000 65.88000000
228 3 52.27000000 4.92000000 66.32000000
229 1 51.84000000 6.20000000 64.71000000
230 3 50.99000000 5.62000000 64.35000000
231 1 52.31000000 7.29000000 63.95000000
232 3 51.81000000 7.62000000 63.04000000
233 1 53.42000000 8.03000000 64.42000000
234 3 53.58000000 9.02000000 63.99000000
235 2 32.17000000 41.31000000 66.19000000
236 1 31.24000000 41.55000000 65.27000000
237 1 29.95000000 41.68000000 65.73000000
238 3 29.65000000 41.35000000 66.71000000
239 1 29.00000000 42.26000000 64.87000000
240 1 27.61000000 42.70000000 65.16000000
241 1 26.92000000 42.33000000 66.31000000
242 1 25.70000000 41.54000000 66.40000000
243 4 25.04000000 40.62000000 66.34000000
244 1 27.36000000 42.67000000 67.70000000
245 4 27.79000000 42.84000000 68.77000000
246 1 26.98000000 43.31000000 63.81000000
247 1 28.12000000 43.15000000 62.77000000
248 5 28.13000000 43.57000000 61.62000000
249 1 29.36000000 42.54000000 63.51000000
250 1 30.62000000 42.21000000 63.04000000
251 3 30.87000000 42.40000000 61.99000000
252 1 31.62000000 41.77000000 63.93000000
253 2 32.90000000 41.78000000 63.47000000
254 1 25.71000000 43.68000000 63.59000000
255 3 24.88000000 43.60000000 64.29000000
256 1 24.94000000 43.98000000 62.37000000
257 1 24.35000000 43.05000000 61.58000000
258 1 24.61000000 41.51000000 61.56000000
259 3 24.35000000 41.02000000 60.62000000
260 3 25.62000000 41.24000000 61.87000000
261 3 23.88000000 41.14000000 62.29000000
262 1 23.45000000 43.59000000 60.66000000
263 1 23.46000000 44.97000000 60.56000000
264 6 24.49000000 45.69000000 61.78000000
265 1 22.62000000 45.50000000 59.63000000
266 4 22.38000000 46.78000000 59.04000000
267 1 23.55000000 47.72000000 58.98000000
268 3 23.60000000 48.25000000 59.93000000
269 3 24.44000000 47.11000000 58.89000000
270 3 23.42000000 48.35000000 58.10000000
271 1 21.40000000 46.54000000 58.03000000
272 1 20.61000000 47.55000000 56.93000000
273 1 19.90000000 46.95000000 55.95000000
274 1 19.38000000 48.05000000 55.15000000
275 1 19.84000000 49.20000000 55.63000000
276 4 20.62000000 48.94000000 56.82000000
277 1 20.46000000 49.69000000 58.07000000
278 3 19.40000000 49.85000000 58.26000000
279 3 20.88000000 49.17000000 58.93000000
280 3 20.95000000 50.66000000 57.95000000
281 1 19.53000000 50.36000000 54.81000000
282 1 18.86000000 49.98000000 53.71000000
283 6 18.63000000 48.34000000 53.54000000
284 1 18.38000000 51.19000000 52.93000000
285 1 18.74000000 52.33000000 53.48000000
286 6 19.76000000 52.10000000 54.95000000
287 3 18.22000000 53.28000000 53.32000000
288 1 17.74000000 51.13000000 51.57000000
289 3 18.23000000 51.86000000 50.92000000
290 3 17.71000000 50.14000000 51.11000000
291 3 16.70000000 51.45000000 51.69000000
292 1 19.65000000 45.38000000 55.81000000
293 1 20.11000000 44.52000000 56.77000000
294 1 21.08000000 45.17000000 58.05000000
295 1 21.85000000 44.54000000 59.07000000
296 6 22.27000000 42.88000000 59.60000000
297 4 19.94000000 43.15000000 56.69000000
298 1 19.41000000 42.65000000 55.54000000
299 1 18.96000000 43.61000000 54.55000000
300 4 19.06000000 44.93000000 54.67000000
301 1 18.68000000 42.78000000 53.32000000
302 1 18.89000000 41.44000000 53.52000000
303 1 19.50000000 41.27000000 54.90000000
304 5 20.31000000 40.36000000 55.16000000
305 1 18.60000000 40.54000000 52.56000000
306 3 18.83000000 39.49000000 52.76000000
307 1 18.12000000 40.91000000 51.31000000
308 3 17.87000000 40.20000000 50.52000000
309 1 17.89000000 42.23000000 51.09000000
310 3 17.40000000 42.50000000 50.16000000
311 1 18.22000000 43.19000000 52.07000000
312 3 18.21000000 44.26000000 51.87000000
313 2 11.10000000 67.30000000 71.74000000
314 1 11.80000000 66.13000000 71.81000000
315 1 11.08000000 64.96000000 71.98000000
316 3 10.01000000 65.02000000 72.11000000
317 1 11.71000000 63.73000000 71.89000000
318 1 11.30000000 62.37000000 72.35000000
319 1 9.99000000 62.02000000 72.50000000
320 1 9.21000000 61.05000000 71.61000000
321 4 8.53000000 60.25000000 71.08000000
322 1 9.06000000 62.71000000 73.42000000
323 4 8.40000000 63.39000000 74.06000000
324 1 12.52000000 61.52000000 72.32000000
325 1 13.66000000 62.38000000 71.79000000
326 5 14.66000000 61.93000000 71.31000000
327 1 13.10000000 63.77000000 71.57000000
328 1 13.85000000 64.89000000 71.43000000
329 3 14.93000000 64.88000000 71.52000000
330 1 13.16000000 66.09000000 71.46000000
331 2 13.76000000 67.17000000 70.92000000
332 1 12.51000000 60.24000000 72.52000000
333 3 11.65000000 59.84000000 73.07000000
334 1 13.60000000 59.25000000 72.68000000
335 1 13.24000000 57.93000000 72.61000000
336 1 12.04000000 57.46000000 71.72000000
337 3 12.45000000 57.07000000 70.79000000
338 3 11.37000000 56.70000000 72.12000000
339 3 11.34000000 58.24000000 71.42000000
340 1 14.22000000 57.09000000 73.27000000
341 1 15.23000000 57.76000000 73.87000000
342 6 15.18000000 59.48000000 73.50000000
343 1 16.12000000 56.81000000 74.59000000
344 4 17.42000000 56.90000000 75.27000000
345 1 18.45000000 57.78000000 74.77000000
346 3 18.11000000 58.42000000 73.96000000
347 3 18.80000000 58.47000000 0.23000000
348 3 19.30000000 57.20000000 74.40000000
349 1 17.60000000 55.61000000 0.57000000
350 1 18.95000000 55.04000000 1.57000000
351 1 19.10000000 53.70000000 1.69000000
352 1 20.33000000 53.51000000 2.38000000
353 1 20.90000000 54.72000000 2.64000000
354 4 20.01000000 55.71000000 2.22000000
355 1 19.77000000 56.97000000 2.89000000
356 3 20.40000000 57.05000000 3.78000000
357 3 20.07000000 57.77000000 2.22000000
358 3 18.72000000 57.07000000 3.18000000
359 1 22.21000000 54.61000000 3.19000000
360 1 22.55000000 53.34000000 3.55000000
361 6 21.38000000 52.19000000 2.90000000
